name;main_category;image
Металлические трубы;1;
Пластиковые трубы;1;
Соединительные элементы (фитинги);1;
Запорная арматура;1;
Материалы для монтажа труб;1;
Краны;2;
Вентили;2;
Задвижки;2;
Клапаны;2;
Приводы для запорной арматуры;2;
Раковины;3;
Унитазы;3;
Ванны;3;
Душевые кабины;3;
Смесители;3;
Котлы;4;
Радиаторы;4;
Теплоносители;4;
Регуляторы температуры;4;
Системы управления отоплением;4;
Трубы;5;
Фитинги;5;
Сифоны;5;
Канализационные насосы;5;
Очистные сооружения;5;
Фильтры;6;
Насосы;6;
Счётчики воды;6;
Системы очистки;6;
Комплектующие для систем водоснабжения;6;
Материалы для труб;7;
Материалы для котлов и радиаторов;7;
Монтажная пена;7;
Герметики;7;
Крепежные элементы;7;
Ключи;8;
Отвёртки;8;
Измерительные приборы;8;
Защитные очки и перчатки;8;
Съёмники и приспособления для монтажа;8;
Кондиционеры;9;
Вентиляция;9;
Увлажнители воздуха;9;
Очистители воздуха;9;
Системы управления климатом;9;
